Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/potenciando-aprendizaje-8368,Potenciando mi aprendizaje en el primer año de Universidad,university,5.0,1111,coursera,education,uchile,ratings at Coursera
/course/teaching-verb-tenses-7365,Strategies for Teaching Perfect Tenses and Modals,university,4.5,85,coursera,education,uci,ratings at Coursera
/course/childliteracy-672,Children Acquiring Literacy Naturally,university,4.5,142,coursera,education,ucsc,ratings at Coursera
/course/virtualassessment-1722,Performance Assessment in the Virtual Classroom,university,4.5,462,coursera,education,uci,ratings at Coursera
/course/gestion-estrategica-escuelas-rurales-11977,Gestión estratégica de Escuelas en Contextos Rurales,university,5.0,45,coursera,education,austral,ratings at Coursera
/course/ensenar-aprender-evaluar-escuelas-rurale-11979,"Enseñar, aprender y evaluar en Escuelas Rurales",university,5.0,74,coursera,education,austral,ratings at Coursera
/course/sel-for-students-10010,SEL for Students: A Path to Social Emotional Well-Being,university,5.0,256,coursera,education,boulder,ratings at Coursera
/course/sel-capstone-10011,SEL Capstone,university,4.5,43,coursera,education,boulder,ratings at Coursera
/course/expanding-sel-10012,Expanding SEL,university,5.0,110,coursera,education,boulder,ratings at Coursera
/course/teachers-social-emotional-learning-10013,The Teacher's Social and Emotional Learning,university,4.5,557,coursera,education,boulder,ratings at Coursera
/course/teacher-sel-programs-10014,"Teacher SEL: Programs, Possibilities, and Contexts",university,4.5,129,coursera,education,boulder,ratings at Coursera
/course/ubiquitouslearning-11068,Ubiquitous Learning and Instructional Technologies,university,4.5,57,coursera,education,illinois,ratings at Coursera
/course/learnerdifferences-11070,Negotiating Learner Differences: Towards Productive Diversity in Learning,university,4.5,20,coursera,education,illinois,ratings at Coursera
/course/newlearning-10504,New Learning: Principles and Patterns of Pedagogy ,university,4.5,232,coursera,education,illinois,ratings at Coursera
/course/art-activity-10383,Art & Activity: Interactive Strategies for Engaging with Art,institution,5.0,1155,coursera,education,moma,ratings at Coursera
/course/calidadeducacionsuperior-9064,Criterios para la Gestión y el Aseguramiento de la Calidad en la Educación Superior,university,4.0,83,coursera,education,uchile,ratings at Coursera
/course/educacion-contextos-rurales-america-lati-11768,Educación en Contextos Rurales: Perspectivas en América Latina,university,5.0,147,coursera,education,austral,ratings at Coursera
/course/proyect-13269,Proyecto de diseño instruccional para el aprendizaje activo en ambientes digitales,university,4.5,128,coursera,education,tecdemonterrey,ratings at Coursera
/course/aprendizaje-matematicas-primaria-13414,Aprendizaje de las matemáticas de primaria,university,5.0,323,coursera,education,uniandes,ratings at Coursera
/course/emprendiendo-en-stem-15150,Emprendiendo en STEM,university,5.0,56,coursera,education,austral,ratings at Coursera
/course/my-favorite-lectures-hkust-13861,My Favorite Lectures @ HKUST ,university,0.0,91,coursera,education,hkust,ratings at Coursera
/course/developing-university-lab-education-13714,Teaching in University Science Laboratories (Developing Best Practice),university,4.5,63,coursera,education,amsterdam,ratings at Coursera
/course/matematica-aulas-heterogeneas-16990,Jugar y Aprender Matemática en aulas heterogéneas,university,5.0,113,coursera,education,austral,ratings at Coursera
/course/evaluacion-aprendizaje-enfoque-cuantitativo-16991,Evaluación del y para el aprendizaje: enfoque cuantitativo,university,5.0,538,coursera,education,unam,ratings at Coursera
/course/evaluacion-educativa-12270,Evaluación del y para el aprendizaje en educación universitaria,university,5.0,81,coursera,education,unam,ratings at Coursera
/course/prepare-emt-certification-test-12706,Prepare for the EMT Certification Test,university,4.5,133,coursera,education,cusystem,ratings at Coursera
/course/ensenanza-matematicas-primaria-17290,Enseñanza de las matemáticas de primaria,university,5.0,99,coursera,education,uniandes,ratings at Coursera
/course/evaluacion-cualitativa-18027,Evaluación del y para el aprendizaje: enfoque cualitativo,university,5.0,40,coursera,education,unam,ratings at Coursera
